id,im_1,im_2,question,options,im_1_groundtruth,im_2_groundtruth,im_1_gpt4o_correct,im_2_gpt4o_correct,set_gpt4o_correct,im_1_gpt4o_logprob,im_2_gpt4o_logprob
10001,./data/images/20192.jpg,./data/images/20053.jpg,What do you see on this angiogram of the internal carotid artery?,(A) Terminating into the ophthalmic artery with no cerebral contribution (B) Showing an aggravating pseudoaneurysm,A,B,1,1,1,-0.08102684,-0.20324446
10002,./data/images/20192.jpg,./data/images/20014.jpg,Where does the internal carotid artery terminate on this angiogram?,(A) It is totally occluded. (B) It terminates into the ophthalmic artery with no cerebral contribution.,B,A,1,0,0,-0.2577399,-0.47977012
10003,./data/images/20014.jpg,./data/images/20040.jpg,What specific vascular pathology is observed in the image?,(A) Total occlusion of the left middle cerebral artery (B) Presence of a left PICA aneurysm,A,B,0,0,0,-0.12365864,-0.03376707
10004,./data/images/20069.jpg,./data/images/20040.jpg,What is the location of the aneurysm depicted in the digital subtraction angiography?,(A) Anterior communicating artery (B) Posterior inferior cerebellar artery,A,B,1,0,0,-0.00023953622,-3.523949e-05
10005,./data/images/20142.jpg,./data/images/20058.jpg,Which artery has undergone coiling for an aneurysm?,(A) Internal carotid artery (B) Anterior communicating artery,B,A,1,1,1,-0.038079713,-0.0010878282
10006,./data/images/20069.jpg,./data/images/20177.jpg,What is the primary vascular abnormality shown in the angiography?,(A) Critical stenosis (B) Partially thrombosed aneurysm,B,A,1,0,0,-7.226629e-06,-0.006803472
10007,./data/images/20066.jpg,./data/images/20081.jpg,What is the appearance of the floor of the third ventricle?,(A) Normal (B) Inferiorly bowed,B,A,1,0,0,-0.00054814905,-0.0011353354
10008,./data/images/20113.jpg,./data/images/20014.jpg,What is the primary abnormality visible in the image?,(A) Fistula carotido-caverneuse (B) Total occlusion of the middle cerebral artery,A,B,1,0,0,-0.007337911,-0.3137376
10009,./data/images/20027.jpg,./data/images/20157.jpg,What condition is observed regarding the fourth ventricle?,(A) No effacement of the fourth ventricle (B) Effacement of the fourth ventricle,A,B,1,-,-,-0.39051315,-0.19745305
10010,./data/images/20218.jpg,./data/images/20157.jpg,What is the extent of cerebellar tonsillar herniation below the foramen magnum?,(A) To the level of C2 (B) To the level of C3,A,B,1,0,0,-0.010234564,-0.08695158
10011,./data/images/20157.jpg,./data/images/20208.jpg,What is the condition of the fourth ventricle in the MRI?,(A) Effaced (B) Not effaced,A,B,1,0,0,-0.2369817,-0.010136391
10012,./data/images/20157.jpg,./data/images/20196.jpg,What is the level of tonsillar herniation visible in the MRI?,(A) To the level of C3 (B) No tonsillar herniation visible,A,B,0,1,0,-0.03097553,-0.003279787
10013,./data/images/20157.jpg,./data/images/20193.jpg,What is the primary abnormality observed in the sagittal T1 weighted MRI of the brain?,(A) Mass effect of a lesion on the foramen of Monro (B) Tonsillar herniation to the level of C3 with effacement of the fourth ventricle and triventricular hydrocephalus,B,A,1,0,0,-0.00036049128,-6.325235e-05
10014,./data/images/20176.jpg,./data/images/20157.jpg,What is the location of the pathological lesion(s) seen in the MRI?,(A) Sellar area (B) Cerebellar tonsils,A,B,1,0,0,-0.030982923,-0.029789371
10015,./data/images/20157.jpg,./data/images/20170.jpg,What level of tonsillar herniation is observed?,(A) To the level of C3 (B) No tonsillar herniation,A,B,0,1,0,-0.52496386,-0.079459414
10016,./data/images/20172.jpg,./data/images/20220.jpg,What is the nature of the hyperintensity observed in the cerebellum?,(A) Patchy high-signal intensity (B) Diffuse hyperintensity,A,B,1,0,0,-0.005248699,-0.5979287
10017,./data/images/20121.jpg,./data/images/20164.jpg,What type of lesion is visible in the MRI?,(A) Intrasellar pituitary microadenoma (B) Sellar mass with a cystic component,B,A,-,0,-,-0.59028196,-0.048802648
10018,./data/images/20034.jpg,./data/images/20147.jpg,Which vascular structure is visible on this image?,(A) Left posterior cerebral artery (B) Left internal carotid artery,A,B,0,1,0,-0.20274468,-0.038144425
10019,./data/images/20155.jpg,./data/images/20172.jpg,What area of the brain is primarily affected by the abnormality?,(A) Brainstem (B) Right cerebellar peduncle,A,B,0,1,0,-0.7566017,-0.0005818653
10020,./data/images/20008.jpg,./data/images/20172.jpg,Which part of the brain shows high signal intensity on the T2-weighted FLAIR MRI?,(A) Right cerebellar peduncle (B) Brain stem,B,A,0,1,0,-0.051775713,-0.00017028624
10021,./data/images/20172.jpg,./data/images/20209.jpg,What anatomical region is primarily affected by the lesion?,(A) Superomedial aspect of the right orbit (B) Right cerebellar peduncle,B,A,1,1,1,-1.2664457e-06,-0.0071470104
10022,./data/images/20195.jpg,./data/images/20172.jpg,What are the signal characteristics of the lesions on MRI?,(A) Solidly enhancing lesion (B) Patchy high-signal intensity PML lesions,A,B,0,1,0,-0.005749964,-2.188868e-05
10023,./data/images/20045.jpg,./data/images/20073.jpg,What is the primary cause of severe spinal cord compression in this image?,(A) C1–C2 instability (B) Anterior subluxation of C1 vertebra relative to C2,B,A,1,0,0,-0.8847451,-0.0050407946
10024,./data/images/20045.jpg,./data/images/20153.jpg,What is the abnormality visualized on this image?,(A) Rathke’s cleft cyst (B) Anterior subluxation of the C1 vertebra relative to C2,B,A,1,1,1,-0.0025529503,-1.8789384e-05
10025,./data/images/20045.jpg,./data/images/20032.jpg,What abnormality is observed in this image?,(A) Anterior subluxation of C1 vertebra relative to C2 (B) Massive thickening of the skull base due to fibrous dysplasia,A,B,0,1,0,-0.25107148,-0.025863841
10026,./data/images/20029.jpg,./data/images/20161.jpg,What is the main abnormality related to the cervical spine shown in the T2-weighted MRI?,(A) Atlantoaxial subluxation (B) Spinal cord transection,A,B,1,0,0,-0.25812733,-0.0016930309
10027,./data/images/20150.jpg,./data/images/20161.jpg,What is the nature of the high signal intensity abnormality observed in the cervical spinal cord?,(A) Horizontal line representing spinal cord transection (B) Well-defined mass with wide dural attachment,B,A,1,1,1,-0.051855847,-0.006598844
10028,./data/images/20161.jpg,./data/images/20038.jpg,What is observed at the C5/6 level?,(A) Spinal cord transection (B) Fusion of vertebral bodies,A,B,0,1,0,-0.13010512,-0.49340174
10029,./data/images/20131.jpg,./data/images/20003.jpg,What is the pathology observed at the C1–C2 facet on the sagittal reconstruction computed tomography?,(A) Solid bony ankylosis (B) Distractive injury,B,A,1,-,-,-0.55376506,-0.8185159
10030,./data/images/20002.jpg,./data/images/20157.jpg,What is the lowest level of tonsillar descent observed in the image?,(A) To the level of C3 (B) Beyond the level of the C1 lamina,B,A,1,-,-,-0.2758211,-0.48395845
10031,./data/images/20012.jpg,./data/images/20216.jpg,What is the visible abnormality pointed out by the arrow in the MR image?,(A) Retro-odontoid pannus compressing the spinal cord (B) Edema of the spinal cord,A,B,1,0,0,-2.749125e-05,-0.0006652566
10032,./data/images/20004.jpg,./data/images/20136.jpg,Is there visible vertebral body height loss?,(A) Yes (B) No,A,B,1,0,0,-0.0056698294,-8.256335e-05
10033,./data/images/20136.jpg,./data/images/20038.jpg,What is the condition of the vertebral bodies of C4 and C5?,(A) Separate and distinct (B) Fused,A,B,1,1,1,-0.47417495,-0.12986667
10034,./data/images/20016.jpg,./data/images/20188.jpg,What is the abnormality affecting the L4-L5 level?,(A) Sequestrated disc fragment (B) Spinal stenosis,A,B,-,1,-,-0.17009765,-0.21068797
10035,./data/images/20160.jpg,./data/images/20016.jpg,What type of disc herniation is shown?,(A) Extrusion (B) Sequestration,A,B,0,1,0,-0.5036091,-0.091519915
10036,./data/images/20016.jpg,./data/images/20154.jpg,What is the abnormality observed at the L4-L5 disc?,(A) Sequestrated disc fragment (B) Generalized bulge,A,B,1,1,1,-0.8064534,-0.22275552
10037,./data/images/20049.jpg,./data/images/20025.jpg,What spinal condition is demonstrated in the image?,(A) Compression fracture with impingement (B) Degenerated disc with high-intensity zone,A,B,0,1,0,-0.43212157,-0.01105489
10038,./data/images/20163.jpg,./data/images/20025.jpg,What type of spinal abnormality is visible in the scan?,(A) Intraspinal mass lesion (B) Degenerated disc with high-intensity zone,A,B,0,1,0,-0.019663034,-0.023305576
10039,./data/images/20025.jpg,./data/images/20022.jpg,What is observed at the L5-S1 level?,(A) Tethering of the spinal cord. (B) A high-intensity zone in the posterior annulus.,B,A,1,0,0,-0.0011940368,-0.0012189285
10040,./data/images/20025.jpg,./data/images/20091.jpg,What type of abnormality is observed in the spine?,(A) Degenerated disc with a high-intensity zone (B) Well-defined cystic lesion along the nerve root,A,B,1,1,1,-0.040116724,-0.07923797
10041,./data/images/20025.jpg,./data/images/20060.jpg,Does the MR image show a high-intensity zone in the posterior annulus?,(A) Yes (B) No,A,B,1,0,0,-0.00041720658,-0.635797
10042,./data/images/20000.jpg,./data/images/20181.jpg,What is noted regarding the condition of the C5/6 intervertebral disc?,(A) It shows enhancement. (B) It shows no enhancement.,B,A,1,-,-,-0.028639829,-0.2747928
10043,./data/images/20098.jpg,./data/images/20162.jpg,What abnormality is noted in the cervical spine on the T2 weighted sagittal MRI?,(A) Rounded high signal intensity in the upper cervical cord (B) Hyperintensity underneath the tectorial membrane extending from C2 to the upper margin of the clivus,A,B,1,1,1,-0.014166327,-0.10134676
10044,./data/images/20107.jpg,./data/images/20047.jpg,What condition is visible in the image?,(A) Subocclusive left anterior descending artery (B) Left main coronary artery aneurysm (CAA),B,A,1,1,1,-1.0802739e-05,-0.5041421
10045,./data/images/20047.jpg,./data/images/20015.jpg,What is the flow status of the left anterior descending (LAD) artery?,(A) TIMI III (B) Subocclusive,B,A,0,1,0,-0.24133906,-0.16092798
10046,./data/images/20217.jpg,./data/images/20047.jpg,What is the condition of the left main coronary artery?,(A) Tapered with 70% stenosis (B) Subocclusive,A,B,-,-,-,-0.061080914,-0.33102617
10047,./data/images/20092.jpg,./data/images/20117.jpg,What is observed in the proximal segment of the left coronary arteries?,(A) Woven coronary artery anomaly (B) Critical narrowing,A,B,0,1,0,-0.63468784,-0.052778356
10048,./data/images/20117.jpg,./data/images/20082.jpg,What is the condition of the left anterior descending artery (LAD) in the patient?,(A) Critical narrowing close to the apical region (B) Severe stenosis of the proximal LAD,A,B,0,1,0,-0.0495274,-0.0018621186
10049,./data/images/20117.jpg,./data/images/20086.jpg,What is the condition of the left anterior descending artery in the presented patient?,(A) Total occlusion (B) Critical narrowing with flow cessation,B,A,-,0,-,-0.42595842,-0.47545096
10050,./data/images/20117.jpg,./data/images/20075.jpg,Is there evidence of significant narrowing in the left anterior descending artery?,(A) Yes (B) No,A,B,1,0,0,-0.20926532,-0.27672634
10051,./data/images/20117.jpg,./data/images/20020.jpg,Is there any evidence of significant narrowing in vessels other than the left anterior descending artery?,(A) No (B) Yes,A,B,1,0,0,-0.10714725,-0.04116039
10052,./data/images/20117.jpg,./data/images/20104.jpg,What is the condition of the left anterior descending artery close to the apical region?,(A) Successfully treated with stent implantation (B) Critical narrowing with flow cessation,B,A,1,0,0,-0.00057733926,-2.3915141e-05
10053,./data/images/20117.jpg,./data/images/20156.jpg,What is the condition of the left anterior descending artery?,(A) Critical narrowing with flow cessation and possible residual thrombus (B) Contained dissection in the mid-segment,A,B,-,1,-,-0.023144623,-3.0545007e-06
